0,Mike Stofmeel,7,Bently Continental GT3 2018,7,00:01:56.9520000,4294733918
1,K. Gonz,75,Ferrari 488 GT3,8,00:01:57.3840000,4294915034
2,Luis Hinojos,912,Porsche 991 GT3,7,00:01:57.4950000,4294585327
3,Travis Wallace,14,Lexus RC F GT3,6,00:01:57.9450000,4294875624
4,Erik Frisen,888,Audi R8 LMS,8,00:01:57.9480000,4294810106
5,Murray Ewonchuk,34,BMW M6 GT3,7,00:01:58.0950000,4294715180
6,Leandro Cairol,11,Ferrari 488 GT3,6,00:01:58.1400000,4294814302
7,Brandyn Purcell,33,Mercedes AMG GT3,6,00:01:58.3110000,4294477796
8,Joao Relvas,19,Lamborghini Huracan GT3,7,00:01:58.9230000,4294817978
9,Tom L,21,Audi R8 LMS,6,00:01:59.7600000,4294684680
10,Michael Jeffries,51,Ferrari 488 GT3,9,00:02:00.3570000,4294967222
11,Car Heroes,911,Porsche 991 GT3,6,00:02:00.5280000,4294941712
12,James Butler,540,Porsche 991 GT3,5,00:02:00.8520000,4294309480
13,Jonathan Young,961,Ferrari 488 GT3,7,00:02:00.9450000,4294838776
14,John Barker,30,Honda NSX GT3,7,00:02:01.1700000,4294869227
15,Andy Blade,100,Aston Martin Vantage V12 GT,3,00:02:04.4670000,4294549425
16,Filipe Ferreira,5,Mercedes AMG GT3,6,00:02:04.7340000,4294639825
17,John Pecchia,15,Lexus RC F GT3,5,24.20:31:23.6470000,4294795592
18,Wesley Stokes,88,Mercedes AMG GT3,4,24.20:31:23.6470000,4294599855
